TID,Technique,Type,Year,Reporter,Target,Source
T0801,Monitor Process State,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0802,Automated Collection,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0803,Block Command Message,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0804,Block Reporting Message,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0807,Command-Line Interface,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0809,Data Destruction,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0812,Default Credentials,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0813,Denial of Control,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0814,Denial of Service,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0814,Denial of Service,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0815,Denial of View,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0816,Device Restart/Shutdown,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0817,Drive-by Compromise,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0818,Engineering Workstation Compromise,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0820,Exploitation for Evasion,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0821,Modify Controller Tasking,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0821,Modify Controller Tasking,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0826,Loss of Availability,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0827,Loss of Control,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0828,Loss of Productivity and Revenue,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0831,Manipulation of Control,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0832,Manipulation of View,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0833,Modify Control Logic,Public,2020,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa20-205a
T0834,Native API,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0834,Native API,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0836,Modify Parameter,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0836,PLCs,Public,2020,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa20-205a
T0842,Network Sniffing,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0843,Program Download,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0843,Program Download,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0843,Program Download,Public,2020,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa20-205a
T0845,Program Upload,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0845,Program Upload,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0846,Remote System Discovery,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0853,Scripting,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0853,Scripting,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0855,Unauthorized Command Message,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0855,Unauthorized Command Message,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0857,System Firmware,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0857,System Firmware,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0858,Change Operating Mode,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0858,Change Operating Mode,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0859,Valid Accounts,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0861,Point & Tag Identification,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0861,Point & Tag Identification,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0862,Supply Chain Compromise,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0863,User Execution,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0865,Spearphishing Attachment,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0867,Lateral Tool Transfer,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0868,Detect Operating Mode,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0868,Detect Operating Mode,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0869,Standard Application Layer Protocol,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0869,Standard Application Layer Protocol,Public,2020,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa20-205a
T0871,Execution through API,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0872,Indicator Removal on Host,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0874,Hooking,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0879,Damage to Property,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0880,Loss of Safety,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0880,Loss of Safety,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0881,Service Stop,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0882,Theft of Operational Information,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0883,Internet Accessible PLC,Public,2020,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa20-205a
T0885,Commonly Used Port,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0885,Commonly Used Port,Public,2020,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa20-205a
