Yr_rank,Overall_rank,TID,Technique,Percentage,Overall_perc,Type,Year,Reporter,Target,Source
6,15,T1548,Abuse Elevation Control Mechanism,7.69,2.27,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-048a
5,13,T1548.002,Abuse Elevation Control Mechanism: Bypass User Access Control,12.5,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,13,T1548.002,Abuse Elevation Control Mechanism: Bypass User Access Control,12.5,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
6,13,T1548.002,Abuse Elevation Control Mechanism: Bypass User Access Control,7.14,6.82,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
6,15,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
6,15,T1134,Access Token Manipulation,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-302a
6,15,T1134.002,Access Token Manipulation: Create Process with Token,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
6,15,T1134.001,Access Token Manipulation: Token Impersonation / Theft,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,15,T1087,Account Discovery,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
6,12,T1087.002,Account Discovery: Domain Account,6.25,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,12,T1087.002,Account Discovery: Domain Account,15.3,9.09,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-336a
5,12,T1087.002,Account Discovery: Domain Account,15.3,9.09,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-259a
6,12,T1087.002,Account Discovery: Domain Account,7.14,9.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
6,13,T1087.003,Account Discovery: Email Account,6.25,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
6,13,T1087.003,Account Discovery: Email Account,7.69,6.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
6,13,T1087.003,Account Discovery: Email Account,7.14,6.82,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
6,14,T1087.001,Account Discovery: Local Account,6.25,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,14,T1087.001,Account Discovery: Local Account,7.69,4.55,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
6,15,T1098,Account Manipulation,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
6,15,T1098.002,Account Manipulation: Exchange Email Delegate Permissions,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,13,T1071,Application Layer Protocol,12.5,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
5,13,T1071,Application Layer Protocol,12.5,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-183a
6,13,T1071,Application Layer Protocol,7.69,6.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
4,13,T1071.004,Application Layer Protocol: DNS,18.7,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-352a
4,13,T1071.004,Application Layer Protocol: DNS,18.7,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
4,13,T1071.004,Application Layer Protocol: DNS,18.7,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-275a
5,14,T1071.002,Application Layer Protocol: File Transfer Protocols,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,14,T1071.002,Application Layer Protocol: File Transfer Protocols,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-275a
6,15,T1071.003,Application Layer Protocol: Mail Protocols,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
