Rank,Tactic,TID,Technique,Percentage,Reporter,Year,Type,"extracted_Source"
15,"Defense Evasion",T1562,"Impair Defenses","0.91","CTID Sightings",2023,Private,"https://center-for-threat-informed-defense.github.io/sightings_ecosystem/top-15-techniques/#"
14,Execution,T1047,"Windows Management Instrumentation","1.21","CTID Sightings",2023,Private,"https://center-for-threat-informed-defense.github.io/sightings_ecosystem/top-15-techniques/#"
13,Discovery,T1082,"System Information Discovery","1.3","CTID Sightings",2023,Private,"https://center-for-threat-informed-defense.github.io/sightings_ecosystem/top-15-techniques/#"
12,"Initial Access
Lateral Movement",T1091,"Replication Through Removable Media","1.37","CTID Sightings",2023,Private,"https://center-for-threat-informed-defense.github.io/sightings_ecosystem/top-15-techniques/#"
11,Impact,T1486,"Data Encrypted for Impact","1.43","CTID Sightings",2023,Private,"https://center-for-threat-informed-defense.github.io/sightings_ecosystem/top-15-techniques/#"
10,"Lateral Movement",T1021,"Remote Services","1.73","CTID Sightings",2023,Private,"https://center-for-threat-informed-defense.github.io/sightings_ecosystem/top-15-techniques/#"
9,"Credential Access",T1003,"OS Credential Dumping","1.75","CTID Sightings",2023,Private,"https://center-for-threat-informed-defense.github.io/sightings_ecosystem/top-15-techniques/#"
8,"Prvilege Escalation
Defense Evasion",T1055,"Process Injection","3.65","CTID Sightings",2023,Private,"https://center-for-threat-informed-defense.github.io/sightings_ecosystem/top-15-techniques/#"
7,"Defense Evasion",T1564,"Hide Artifacts","4.05","CTID Sightings",2023,Private,"https://center-for-threat-informed-defense.github.io/sightings_ecosystem/top-15-techniques/#"
6,Execution,T1204,"User Execution","4.05","CTID Sightings",2023,Private,"https://center-for-threat-informed-defense.github.io/sightings_ecosystem/top-15-techniques/#"
5,"Defense Evasion",T1070,"Indicator Removal","7.75","CTID Sightings",2023,Private,"https://center-for-threat-informed-defense.github.io/sightings_ecosystem/top-15-techniques/#"
4,"Defense Evasion",T1112,"Modify Registry","7.98","CTID Sightings",2023,Private,"https://center-for-threat-informed-defense.github.io/sightings_ecosystem/top-15-techniques/#"
10,,T1660,"Phishing (Mobile)","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
83,Impact,T1657,"Financial Theft","7.9","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
6,Impact,T1657,"Financial Theft","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
8,Impact,T1657,"Financial Theft","10.71",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a"
7,Discovery,T1654,"Log Enumeration","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
291,"Credential Access",T1649,"Steal or Forge Authentication Certificates","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
281,"Credential Access",T1649,"Steal or Forge Authentication Certificates","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
10,Execution,T1648,"Serverless Execution","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
360,"Defense Evasion",T1647,"Plist File Modification","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
20,"Discovery
Defense Evasion",T1622,"Debugger Evasion","21.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
20,"Discovery
Defense Evasion",T1622,"Debugger Evasion","21.1","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
10,"Discovery
Defense Evasion",T1622,"Debugger Evasion","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
336,"Credential Access",T1621,"Multi-Factor Authentication Request Generation","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
323,"Credential Access",T1621,"Multi-Factor Authentication Request Generation","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
7,"Credential Access",T1621,"Multi-Factor Authentication Request Generation","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
