Rank,TID,Technique,Percentage,Reporter,Year,Type,Source
80,T1001,Data Obfuscation,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
81,T1001.003,Data Obfuscation: Protocol Impersonation,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
27,T1003,OS Credential Dumping,15,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
10,T1003.001,OS Credential Dumping: LSASS Memory,8.9,Red Canary,2023,Private,https://resource.redcanary.com/rs/003-YRU-314/images/2023_ThreatDetectionReport_RedCanary.pdf
3,T1003.001,OS Credential Dumping: LSASS Memory,30,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
39,T1003.003,OS Credential Dumping: NTDS,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a
82,T1003.006,OS Credential Dumping: DCSync,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
40,T1005,Data from Local System,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
96,T1005,Data from Local System,1.1,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
38,T1007,System Service Discovery,10.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
45,T1010,Application Window Discovery,8.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
83,T1012,Query Registry,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a
17,T1012,Query Registry,22.3,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
84,T1014,Rootkit,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
5,T1016,System Network Configuration Discovery,25,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
28,T1016,System Network Configuration Discovery,15.8,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
85,T1016.001,System Network Configuration Discovery: Internet Connection Discovery,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-201a
96,T1016.001,System Network Configuration Discovery: Internet Connection Discovery,1.1,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
12,T1018,Remote System Discovery,20,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
101,T1018,Remote System Discovery,0.9,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
93,T1020,Automated Exfiltration,1.3,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
86,T1021,Remote Services,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-040a
9,T1021,Remote Services,26.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
13,T1021.001,Remote Services: Remote Desktop Protocol,20,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-061a
22,T1021.001,Remote Services: Remote Desktop Protocol,20.3,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
28,T1021.002,Remote Services: SMB/Windows Admin Shares,15,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
54,T1021.002,Remote Services: SMB/Windows Admin Shares,6.6,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
56,T1021.004,Remote Services: SSH,6.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
93,T1021.005,Remote Services: VNC,1.3,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
144,T1021.006,Remote Services: Windows Remote Management,0.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
4,T1027,Obfuscated Files or Information,23.8,Red Canary,2023,Private,https://resource.redcanary.com/rs/003-YRU-314/images/2023_ThreatDetectionReport_RedCanary.pdf
14,T1027,Obfuscated Files or Information,20,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-075a
2,T1027,Obfuscated Files or Information,43.5,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
29,T1027.001,Obfuscated Files or Information: Binary Padding,15,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
30,T1027.002,Obfuscated Files or Information: Software Packing,15,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
87,T1027.009,Obfuscated Files or Information: Embedded Payloads ,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
88,T1029,Schedule Transfer,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
89,T1030,Data Transfer Size Limits ,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
144,T1030,Data Transfer Size Limits,0.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
15,T1033,System Owner/User Discovery,20,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
16,T1033,System Owner / User Discovery,22.5,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
9,T1036.003,Masquerading: Rename System Utilities,18,Red Canary,2023,Private,https://resource.redcanary.com/rs/003-YRU-314/images/2023_ThreatDetectionReport_RedCanary.pdf
90,T1036.005,Masquerading: Match Legitimate Name or Location,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-074a
41,T1036.008,Masquerading: Masquerade File Type ,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
96,T1037,Boot or Logon Initialization Scripts,1.1,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
127,T1037.001,Boot or Logon Initialization Scripts: Logon Scripts (Windows),0.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
144,T1037.004,Boot or Logon Initialization Scripts: RC Scripts,0.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
75,T1039,Data from Network Shared Device,2.9,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
91,T1040,Network Sniffing,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
127,T1040,Network Sniffing,0.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
92,T1041,Exfiltration Over C2 Channel,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-158a
110,T1041,Exfiltration Over C2 Channel,0.7,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
4,T1046,Network Service Discovery,30,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
76,T1046,Network Service Discovery,2.7,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
3,T1047,Windows Management Instrumentation,12.4,Red Canary,2023,Private,https://resource.redcanary.com/rs/003-YRU-314/images/2023_ThreatDetectionReport_RedCanary.pdf
93,T1047,Windows Management Instrumentation,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-144a
31,T1048,Exfiltration Over Alternative Protocol,15,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a
94,T1049,System Network Connections Discovery,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
46,T1049,System Network Connections Discovery,8.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
23,T1053,Scheduled Task/Job,18.3,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
101,T1053.003,Scheduled Task/Job: Cron,0.9,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
