Rank,TID,Technique,Percentage,Reporter,Year,Type,Source
1,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,37.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
1,T1059.001,Command and Scripting Interpreter: PowerShell,37.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
1,T1190,Exploit Public-Facing Application,37.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
1,T1083,File and Directory Discovery,37.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
1,T1566.001,Phishing: Spearphishing Attachment,37.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
1,T1566.002,Phishing: Spearphishing Link,37.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
1,T1057,Process Discovery,37.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
1,T1016,System Network Configuration Discovery,37.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
2,T1059.003,Command and Scripting Interpreter: Windows Command Shell,31.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
2,T1543.003,Create or Modify System Process: Windows Service,31.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
2,T1070.004,Indicator Removal on Host: File Deletion,31.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
2,T1105,Ingress Tool Transfer,31.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
2,T1027,Obfuscated Files or Information,31.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
3,T1071.001,Application Layer Protocol: Web Protocols,25.00,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
3,T1555.003,Credentials from Password Stores: Credentials from Web Browsers,25.00,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
3,T1132.001,Data Encoding: Standard Encoding,25.00,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
3,T1189,Drive-by Compromise,25.00,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
3,T1041,Exfiltration Over C2 Channel,25.00,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
3,T1056.001,Input Capture: Keylogging,25.00,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
3,T1055,Process Injection,25.00,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
3,T1505.003,Server Software Component: Web Shell,25.00,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
3,T1082,System Information Discovery,25.00,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
3,T1033,System Owner/User Discovery,25.00,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
3,T1204.002,User Execution: Malicious File,25.00,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1071.004,Application Layer Protocol: DNS,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1560,Archive Collected Data,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1059.005,Command and Scripting Interpreter: Visual Basic,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1140,Deobfuscate/Decode Files or Information,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1573.002,Encrypted Channel: Asymmetric Cryptography,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1133,External Remote Services,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1562.001,Impair Defenses: Disable or Modify Tools,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1036.005,Masquerading: Match Legitimate Name or Location,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1106,Native API,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1046,Network Service Scanning,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1040,Network Sniffing,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1027.002,Obfuscated Files or Information: Software Packing,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1003.001,OS Credential Dumping: LSASS Memory,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1090,Proxy,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1090.002,Proxy: External Proxy,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1012,Query Registry,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1219,Remote Access Software,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1021.001,Remote Services: Remote Desktop Protocol,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1113,Screen Capture,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1518.001,Software Discovery: Security Software Discovery,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1553.002,Subvert Trust Controls: Code Signing,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1218.011,System Binary Proxy Execution: Rundll32,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1569.002,System Services: Service Execution,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1204.001,User Execution: Malicious Link,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
4,T1078,Valid Accounts,18.75,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1071,Application Layer Protocol,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1071.002,Application Layer Protocol: File Transfer Protocols,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1119,Automated Collection,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1547.009,Boot or Logon Autostart Execution: Shortcut Modification,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1110,Brute Force,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1110.003,Brute Force: Password Spraying,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1115,Clipboard Data,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1059.006,Command and Scripting Interpreter: Python,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1005,Data from Local System,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1568.002,Dynamic Resolution: Domain Generation Algorithms,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1114,Email Collection,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1114.001,Email Collection: Local Email Collection,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1573.001,Encrypted Channel: Symmetric Cryptography,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1499,Endpoint Denial of Service,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1546.008,Event Triggered Execution: Accesibility Features,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1546.001,Event Triggered Execution: Change Default File Association,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1546.015,Event Triggered Execution: Component Object Model Hijacking,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1048.003,Exfiltration Over Alternative Protocol: Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1203,Exploitation for Client Execution,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1210,Exploitation of Remote Services,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1564.001,Hide Artifacts: Hidden Files and Directories,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1574.002,Hijack Exectuion Flow: DLL Side-Loading,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1562.004,Impair Defenses: Disable or Modify System Firewall,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1070.003,Indicator Removal on Host: Clear Command History,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1070.006,Indicator Removal on Host: Timestomp,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1056.004,Input Capture: Credential API Hooking,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1112,Modify Registry,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1498,Network Denial of Service,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1095,Non-Application Layer Protocol,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1571,Non-Standard Port,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1027.005,Obfuscated Files or Information: Indicator Removal from Tools,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1027.003,Obfuscated Files or Information: Steganography,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1003,OS Credential Dumping,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1055.012,Process Injection: Process Hollowing,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1090.003,Proxy: Multi-Hop Proxy,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1021,Remote Services,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1021.002,Remote Services: SMB/Windows Admin Shares,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1018,Remote System Discovery,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1014,Rootkit,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1053.005,Scheduled Task/Job: Scheduled Task,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1072,Software Deployment Tools,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1195.002,Supply Chain Compromise: Software Supply Chain,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1218.001,System Binary Proxy Execution: Compiled HTML File,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1218.005,System Binary Proxy Execution: Mshta,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1049,System Network Connections Discovery,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1199,Trusted Relationship,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1552.001,Unsecured Credentials: Credentials in Files,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1550.002,Use Alternate Authentication Material: Pass the Hash,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
5,T1047,Windows Management Instrumentation,12.5,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1134,Access Token Manipulation,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1134.002,Access Token Manipulation: Create Process with Token,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1134.001,Access Token Manipulation: Token Impersonation/Theft,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1087,Account Discovery,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1087.002,Account Discovery: Domain Account,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1087.003,Account Discovery: Email Account,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1087.001,Account Discovery: Local Account,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1098,Account Manipulation,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1098.002,Account Manipulation: Exchange Email Delegate Permissions,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1071.003,Application Layer Protocol: Mail Protocols,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1010,Application Window Discovery,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1560.003,Archive Collected Data: Archive via Custom Method,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1560.001,Archive Collected Data: Archive via Utility,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1123,Audio Capture,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1020,Automated Exfiltration,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1197,BITS Jobs,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1547,Boot or Logon Autostart Execution,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1037.001,Boot or Logon Initialization Scripts: Logon Script,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1217,Browser Bookmark Discovery,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1176,Browser Extensions,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1185,Browser Session Hijacking,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1110.004,Brute Force: Credential Stuffing,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1110.002,Brute Force: Password Cracking,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1110.001,Brute Force: Password Guessing,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1059,Command and Scripting Interpreter,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1059.004,Command and Scripting Interpreter: Unix Shell,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T0885,Commonly Used Port,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1043,Commonly Used Port,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1092,Communication through Removable Media,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
